trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
503,False,"{'a': 0.1, 'e': 0.08035439121179945}",25,0,5.506992310198359,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
504,False,"{'a': 0.1, 'e': 0.07995261925574046}",20,5,1.8329142421542448,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
505,False,"{'a': 0.1, 'e': 0.07955285615946175}",25,11,-18.6467541576085,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
506,False,"{'a': 0.1, 'e': 0.07915509187866444}",30,16,29.09764619562213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.1, 'e': 0.07875931641927113}",25,11,25.26179780591306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.1, 'e': 0.07836551983717477}",30,16,13.114033167738064,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
509,False,"{'a': 0.1, 'e': 0.07797369223798889}",20,0,25.108456255124878,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
510,False,"{'a': 0.1, 'e': 0.07758382377679894}",20,12,10.940178091218721,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.1, 'e': 0.07719590465791494}",20,3,22.86817818794508,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.1, 'e': 0.07680992513462537}",20,8,-1.5015638137752902,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
513,False,"{'a': 0.1, 'e': 0.07642587550895225}",30,19,20.091646117036035,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.1, 'e': 0.07604374613140748}",20,13,10.422263742607907,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.1, 'e': 0.07566352740075044}",20,5,17.985004375677665,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.1, 'e': 0.07528520976374668}",20,9,20.88020883407823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.1, 'e': 0.07490878371492794}",25,11,28.158334203978406,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.1, 'e': 0.0745342397963533}",25,18,16.307207785823326,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.1, 'e': 0.07416156859737154}",25,15,-20.363834528787507,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
520,False,"{'a': 0.1, 'e': 0.07379076075438468}",20,8,23.11578110909058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.1, 'e': 0.07342180695061275}",25,9,31.80415751652559,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.1, 'e': 0.07305469791585968}",25,18,13.891442696768797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.1, 'e': 0.07268942442628039}",25,13,24.241543583040336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.1, 'e': 0.07232597730414898}",20,12,9.378946042502275,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.1, 'e': 0.07196434741762824}",20,13,11.76866973734608,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.1, 'e': 0.0716045256805401}",20,11,17.32646394080825,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.1, 'e': 0.0712465030521374}",20,12,12.453851408878322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
